step_size,                  x,              v_num,            u_exact,               time,

0.001001,                   0,                   0,                   0,            0.019099,

0.001001,            0.001001,          0.00896005,          0.00895912,            0.019099,

0.001001,            0.002002,           0.0178209,            0.017819,            0.019099,

0.001001,            0.003003,           0.0265835,           0.0265807,            0.019099,

0.001001,            0.004004,           0.0352489,           0.0352452,            0.019099,

0.001001,          0.00500501,            0.043818,           0.0438134,            0.019099,

0.001001,          0.00600601,           0.0522919,           0.0522863,            0.019099,

0.001001,          0.00700701,           0.0606713,           0.0606648,            0.019099,

0.001001,          0.00800801,           0.0689574,           0.0689499,            0.019099,

0.001001,          0.00900901,           0.0771509,           0.0771425,            0.019099,

0.001001,             0.01001,           0.0852529,           0.0852436,            0.019099,

0.001001,            0.011011,           0.0932642,            0.093254,            0.019099,

0.001001,            0.012012,            0.101186,            0.101175,            0.019099,

0.001001,            0.013013,            0.109019,            0.109006,            0.019099,

0.001001,            0.014014,            0.116763,             0.11675,            0.019099,

0.001001,            0.015015,            0.124421,            0.124407,            0.019099,

0.001001,            0.016016,            0.131992,            0.131977,            0.019099,

0.001001,            0.017017,            0.139478,            0.139462,            0.019099,

0.001001,            0.018018,             0.14688,            0.146863,            0.019099,

0.001001,            0.019019,            0.154198,             0.15418,            0.019099,

0.001001,             0.02002,            0.161433,            0.161414,            0.019099,

0.001001,            0.021021,            0.168586,            0.168566,            0.019099,

0.001001,            0.022022,            0.175657,            0.175637,            0.019099,

0.001001,            0.023023,            0.182649,            0.182627,            0.019099,

0.001001,            0.024024,            0.189561,            0.189538,            0.019099,

0.001001,            0.025025,            0.196394,             0.19637,            0.019099,

0.001001,            0.026026,            0.203149,            0.203124,            0.019099,

0.001001,            0.027027,            0.209826,            0.209801,            0.019099,

0.001001,            0.028028,            0.216428,            0.216401,            0.019099,

0.001001,            0.029029,            0.222953,            0.222926,            0.019099,

0.001001,             0.03003,            0.229404,            0.229376,            0.019099,

0.001001,            0.031031,             0.23578,            0.235751,            0.019099,

0.001001,            0.032032,            0.242083,            0.242053,            0.019099,

0.001001,            0.033033,            0.248313,            0.248282,            0.019099,

0.001001,            0.034034,            0.254471,            0.254439,            0.019099,

0.001001,            0.035035,            0.260558,            0.260525,            0.019099,

0.001001,            0.036036,            0.266574,            0.266541,            0.019099,

0.001001,            0.037037,            0.272521,            0.272486,            0.019099,

0.001001,            0.038038,            0.278398,            0.278362,            0.019099,

0.001001,            0.039039,            0.284207,             0.28417,            0.019099,

0.001001,             0.04004,            0.289948,             0.28991,            0.019099,

0.001001,            0.041041,            0.295621,            0.295583,            0.019099,

0.001001,            0.042042,            0.301229,            0.301189,            0.019099,

0.001001,            0.043043,             0.30677,             0.30673,            0.019099,

0.001001,            0.044044,            0.312247,            0.312205,            0.019099,

0.001001,            0.045045,            0.317658,            0.317616,            0.019099,

0.001001,            0.046046,            0.323006,            0.322963,            0.019099,

0.001001,            0.047047,            0.328291,            0.328247,            0.019099,

0.001001,            0.048048,            0.333513,            0.333468,            0.019099,

0.001001,            0.049049,            0.338673,            0.338627,            0.019099,

0.001001,           0.0500501,            0.343772,            0.343725,            0.019099,

0.001001,           0.0510511,             0.34881,            0.348762,            0.019099,

0.001001,           0.0520521,            0.353788,            0.353739,            0.019099,

0.001001,           0.0530531,            0.358707,            0.358657,            0.019099,

0.001001,           0.0540541,            0.363566,            0.363515,            0.019099,

0.001001,           0.0550551,            0.368367,            0.368315,            0.019099,

0.001001,           0.0560561,             0.37311,            0.373058,            0.019099,

0.001001,           0.0570571,            0.377797,            0.377743,            0.019099,

0.001001,           0.0580581,            0.382426,            0.382371,            0.019099,

0.001001,           0.0590591,            0.386999,            0.386944,            0.019099,

0.001001,           0.0600601,            0.391517,            0.391461,            0.019099,

0.001001,           0.0610611,             0.39598,            0.395923,            0.019099,

0.001001,           0.0620621,            0.400389,             0.40033,            0.019099,

0.001001,           0.0630631,            0.404743,            0.404684,            0.019099,

0.001001,           0.0640641,            0.409045,            0.408984,            0.019099,

0.001001,           0.0650651,            0.413293,            0.413232,            0.019099,

0.001001,           0.0660661,            0.417489,            0.417427,            0.019099,

0.001001,           0.0670671,            0.421634,             0.42157,            0.019099,

