step_size,                  x,              v_num,            u_exact,               time,
0.001001,              0.1001,            0.540635,            0.535053,             11081.4,

0.001001,            0.101101,            0.543286,            0.537676,             11081.4,

0.001001,            0.102102,            0.545901,            0.540263,             11081.4,

0.001001,            0.103103,             0.54848,            0.542814,             11081.4,

0.001001,            0.104104,            0.551023,             0.54533,             11081.4,

0.001001,            0.105105,            0.553531,             0.54781,             11081.4,

0.001001,            0.106106,            0.556004,            0.550256,             11081.4,

0.001001,            0.107107,            0.558442,            0.552668,             11081.4,

0.001001,            0.108108,            0.560845,            0.555046,             11081.4,

0.001001,            0.109109,            0.563215,             0.55739,             11081.4,

0.001001,             0.11011,            0.565551,            0.559701,             11081.4,

0.001001,            0.111111,            0.567854,            0.561979,             11081.4,

0.001001,            0.112112,            0.570124,            0.564224,             11081.4,

0.001001,            0.113113,            0.572361,            0.566437,             11081.4,

0.001001,            0.114114,            0.574565,            0.568618,             11081.4,

0.001001,            0.115115,            0.576738,            0.570767,             11081.4,

0.001001,            0.116116,            0.578879,            0.572885,             11081.4,

0.001001,            0.117117,            0.580989,            0.574971,             11081.4,

0.001001,            0.118118,            0.583068,            0.577027,             11081.4,

0.001001,            0.119119,            0.585116,            0.579053,             11081.4,

0.001001,             0.12012,            0.587133,            0.581048,             11081.4,

0.001001,            0.121121,             0.58912,            0.583014,             11081.4,

0.001001,            0.122122,            0.591078,             0.58495,             11081.4,

0.001001,            0.123123,            0.593006,            0.586856,             11081.4,

0.001001,            0.124124,            0.594904,            0.588734,             11081.4,

0.001001,            0.125125,            0.596774,            0.590583,             11081.4,

0.001001,            0.126126,            0.598615,            0.592404,             11081.4,

0.001001,            0.127127,            0.600428,            0.594196,             11081.4,

0.001001,            0.128128,            0.602212,            0.595961,             11081.4,

0.001001,            0.129129,            0.603969,            0.597698,             11081.4,

0.001001,             0.13013,            0.605698,            0.599408,             11081.4,

0.001001,            0.131131,              0.6074,            0.601091,             11081.4,

0.001001,            0.132132,            0.609075,            0.602748,             11081.4,

0.001001,            0.133133,            0.610723,            0.604377,             11081.4,

0.001001,            0.134134,            0.612345,            0.605981,             11081.4,

0.001001,            0.135135,             0.61394,            0.607558,             11081.4,

0.001001,            0.136136,             0.61551,             0.60911,             11081.4,

0.001001,            0.137137,            0.617054,            0.610637,             11081.4,

0.001001,            0.138138,            0.618572,            0.612138,             11081.4,

0.001001,            0.139139,            0.620065,            0.613615,             11081.4,

0.001001,             0.14014,            0.621534,            0.615066,             11081.4,

0.001001,            0.141141,            0.622977,            0.616494,             11081.4,

0.001001,            0.142142,            0.624396,            0.617897,             11081.4,

0.001001,            0.143143,            0.625792,            0.619276,             11081.4,

0.001001,            0.144144,            0.627163,            0.620631,             11081.4,

0.001001,            0.145145,             0.62851,            0.621963,             11081.4,

0.001001,            0.146146,            0.629834,            0.623272,             11081.4,

0.001001,            0.147147,            0.631135,            0.624558,             11081.4,

0.001001,            0.148148,            0.632412,            0.625821,             11081.4,

0.001001,            0.149149,            0.633667,            0.627061,             11081.4,

0.001001,             0.15015,              0.6349,            0.628279,             11081.4,

0.001001,            0.151151,             0.63611,            0.629475,             11081.4,

0.001001,            0.152152,            0.637298,             0.63065,             11081.4,

0.001001,            0.153153,            0.638464,            0.631802,             11081.4,

0.001001,            0.154154,            0.639608,            0.632933,             11081.4,

0.001001,            0.155155,            0.640731,            0.634043,             11081.4,

0.001001,            0.156156,            0.641833,            0.635131,             11081.4,

0.001001,            0.157157,            0.642913,            0.636199,             11081.4,

0.001001,            0.158158,            0.643973,            0.637247,             11081.4,

