step_size,                  x,              v_num,            u_exact,               time,

0.010101,                   0,           0.0952539,           0.0859755,             18.0444,

0.010101,            0.010101,            0.180305,             0.16272,             18.0444,

0.010101,            0.020202,            0.256133,            0.231122,             18.0444,

0.010101,            0.030303,            0.323624,            0.291981,             18.0444,

0.010101,            0.040404,             0.38358,            0.346022,             18.0444,

0.010101,           0.0505051,            0.436724,            0.393901,             18.0444,

0.010101,           0.0606061,             0.48371,             0.43621,             18.0444,

0.010101,           0.0707071,            0.525131,            0.473483,             18.0444,

0.010101,           0.0808081,            0.561521,            0.506205,             18.0444,

0.010101,           0.0909091,            0.593363,            0.534812,             18.0444,

0.010101,             0.10101,            0.621095,            0.559701,             18.0444,

0.010101,            0.111111,            0.645111,            0.581228,             18.0444,

0.010101,            0.121212,            0.665768,            0.599716,             18.0444,

0.010101,            0.131313,            0.683389,            0.615458,             18.0444,

0.010101,            0.141414,            0.698266,            0.628717,             18.0444,

0.010101,            0.151515,            0.710661,            0.639731,             18.0444,

0.010101,            0.161616,            0.720815,            0.648717,             18.0444,

0.010101,            0.171717,            0.728942,            0.655869,             18.0444,

0.010101,            0.181818,            0.735236,            0.661364,             18.0444,

0.010101,            0.191919,            0.739874,             0.66536,             18.0444,

0.010101,             0.20202,            0.743015,            0.668002,             18.0444,

0.010101,            0.212121,            0.744803,             0.66942,             18.0444,

0.010101,            0.222222,            0.745368,            0.669731,             18.0444,

0.010101,            0.232323,            0.744827,            0.669042,             18.0444,

0.010101,            0.242424,            0.743287,            0.667448,             18.0444,

0.010101,            0.252525,            0.740843,            0.665037,             18.0444,

0.010101,            0.262626,            0.737583,            0.661888,             18.0444,

0.010101,            0.272727,            0.733584,             0.65807,             18.0444,

0.010101,            0.282828,            0.728918,            0.653649,             18.0444,

0.010101,            0.292929,            0.723649,            0.648682,             18.0444,

0.010101,             0.30303,            0.717835,            0.643222,             18.0444,

0.010101,            0.313131,            0.711528,            0.637317,             18.0444,

0.010101,            0.323232,            0.704776,            0.631008,             18.0444,

0.010101,            0.333333,            0.697621,            0.624335,             18.0444,

0.010101,            0.343434,            0.690101,            0.617332,             18.0444,

0.010101,            0.353535,            0.682253,            0.610032,             18.0444,

0.010101,            0.363636,            0.674108,            0.602463,             18.0444,

0.010101,            0.373737,            0.665693,            0.594651,             18.0444,

0.010101,            0.383838,            0.657036,            0.586618,             18.0444,

0.010101,            0.393939,            0.648159,            0.578388,             18.0444,

0.010101,             0.40404,            0.639083,            0.569977,             18.0444,

0.010101,            0.414141,            0.629828,            0.561404,             18.0444,

0.010101,            0.424242,            0.620411,            0.552684,             18.0444,

0.010101,            0.434343,            0.610847,            0.543832,             18.0444,

0.010101,            0.444444,            0.601151,             0.53486,             18.0444,

0.010101,            0.454545,            0.591334,            0.525779,             18.0444,

0.010101,            0.464646,             0.58141,            0.516601,             18.0444,

0.010101,            0.474747,            0.571387,            0.507333,             18.0444,

0.010101,            0.484848,            0.561276,            0.497986,             18.0444,

0.010101,            0.494949,            0.551085,            0.488566,             18.0444,

0.010101,            0.505051,            0.540822,            0.479081,             18.0444,

0.010101,            0.515152,            0.530493,            0.469537,             18.0444,

0.010101,            0.525253,            0.520105,            0.459939,             18.0444,

0.010101,            0.535354,            0.509664,            0.450293,             18.0444,

0.010101,            0.545455,            0.499175,            0.440604,             18.0444,

0.010101,            0.555556,            0.488642,            0.430875,             18.0444,

0.010101,            0.565657,            0.478069,             0.42111,             18.0444,

0.010101,            0.575758,            0.467461,            0.411313,             18.0444,

0.010101,            0.585859,            0.456821,            0.401487,             18.0444,

0.010101,             0.59596,            0.446151,            0.391634,             18.0444,

0.010101,            0.606061,            0.435455,            0.381758,             18.0444,

0.010101,            0.616162,            0.424736,             0.37186,             18.0444,

0.010101,            0.626263,            0.413994,            0.361942,             18.0444,

0.010101,            0.636364,            0.403234,            0.352007,             18.0444,

0.010101,            0.646465,            0.392455,            0.342056,             18.0444,

