step_size,                  x,              v_num,            u_exact,               time,

0.010101,                   0,                   0,                   0,            0.002046,

0.010101,            0.010101,           0.0860034,           0.0859755,            0.002046,

0.010101,            0.020202,            0.162784,             0.16272,            0.002046,

0.010101,            0.030303,            0.231228,            0.231122,            0.002046,

0.010101,            0.040404,            0.292136,            0.291981,            0.002046,

0.010101,           0.0505051,            0.346232,            0.346022,            0.002046,

0.010101,           0.0606061,            0.394172,            0.393901,            0.002046,

0.010101,           0.0707071,            0.436545,             0.43621,            0.002046,

0.010101,           0.0808081,            0.473888,            0.473483,            0.002046,

0.010101,           0.0909091,            0.506682,            0.506205,            0.002046,

0.010101,             0.10101,            0.535367,            0.534812,            0.002046,

0.010101,            0.111111,            0.560335,            0.559701,            0.002046,

0.010101,            0.121212,            0.581945,            0.581228,            0.002046,

0.010101,            0.131313,            0.600518,            0.599716,            0.002046,

0.010101,            0.141414,            0.616347,            0.615458,            0.002046,

0.010101,            0.151515,            0.629696,            0.628717,            0.002046,

0.010101,            0.161616,            0.640802,            0.639731,            0.002046,

0.010101,            0.171717,            0.649881,            0.648717,            0.002046,

0.010101,            0.181818,            0.657128,            0.655869,            0.002046,

0.010101,            0.191919,            0.662719,            0.661364,            0.002046,

0.010101,             0.20202,            0.666812,             0.66536,            0.002046,

0.010101,            0.212121,            0.669553,            0.668002,            0.002046,

0.010101,            0.222222,             0.67107,             0.66942,            0.002046,

0.010101,            0.232323,            0.671482,            0.669731,            0.002046,

0.010101,            0.242424,            0.670894,            0.669042,            0.002046,

0.010101,            0.252525,            0.669403,            0.667448,            0.002046,

0.010101,            0.262626,            0.667095,            0.665037,            0.002046,

0.010101,            0.272727,            0.664049,            0.661888,            0.002046,

0.010101,            0.282828,            0.660336,             0.65807,            0.002046,

0.010101,            0.292929,            0.656019,            0.653649,            0.002046,

0.010101,             0.30303,            0.651157,            0.648682,            0.002046,

0.010101,            0.313131,            0.645803,            0.643222,            0.002046,

0.010101,            0.323232,            0.640003,            0.637317,            0.002046,

0.010101,            0.333333,              0.6338,            0.631008,            0.002046,

0.010101,            0.343434,            0.627234,            0.624335,            0.002046,

0.010101,            0.353535,            0.620338,            0.617332,            0.002046,

0.010101,            0.363636,            0.613145,            0.610032,            0.002046,

0.010101,            0.373737,            0.605683,            0.602463,            0.002046,

0.010101,            0.383838,            0.597979,            0.594651,            0.002046,

0.010101,            0.393939,            0.590054,            0.586618,            0.002046,

0.010101,             0.40404,            0.581931,            0.578388,            0.002046,

0.010101,            0.414141,            0.573629,            0.569977,            0.002046,

0.010101,            0.424242,            0.565164,            0.561404,            0.002046,

0.010101,            0.434343,            0.556552,            0.552684,            0.002046,

0.010101,            0.444444,            0.547808,            0.543832,            0.002046,

0.010101,            0.454545,            0.538945,             0.53486,            0.002046,

0.010101,            0.464646,            0.529973,            0.525779,            0.002046,

0.010101,            0.474747,            0.520903,            0.516601,            0.002046,

0.010101,            0.484848,            0.511744,            0.507333,            0.002046,

0.010101,            0.494949,            0.502506,            0.497986,            0.002046,

0.010101,            0.505051,            0.493195,            0.488566,            0.002046,

0.010101,            0.515152,            0.483819,            0.479081,            0.002046,

0.010101,            0.525253,            0.474384,            0.469537,            0.002046,

0.010101,            0.535354,            0.464895,            0.459939,            0.002046,

0.010101,            0.545455,            0.455358,            0.450293,            0.002046,

0.010101,            0.555556,            0.445777,            0.440604,            0.002046,

0.010101,            0.565657,            0.436158,            0.430875,            0.002046,

0.010101,            0.575758,            0.426502,             0.42111,            0.002046,

0.010101,            0.585859,            0.416814,            0.411313,            0.002046,

0.010101,             0.59596,            0.407097,            0.401487,            0.002046,

0.010101,            0.606061,            0.397354,            0.391634,            0.002046,

0.010101,            0.616162,            0.387587,            0.381758,            0.002046,

0.010101,            0.626263,            0.377798,             0.37186,            0.002046,

0.010101,            0.636364,             0.36799,            0.361942,            0.002046,

0.010101,            0.646465,            0.358164,            0.352007,            0.002046,

0.010101,            0.656566,            0.348323,            0.342056,            0.002046,

0.010101,            0.666667,            0.338467,            0.332091,            0.002046,

0.010101,            0.676768,            0.328598,            0.322113,            0.002046,

0.010101,            0.686869,            0.318717,            0.312123,            0.002046,

0.010101,             0.69697,            0.308826,            0.302122,            0.002046,

0.010101,            0.707071,            0.298925,            0.292112,            0.002046,

0.010101,            0.717172,            0.289015,            0.282093,            0.002046,

0.010101,            0.727273,            0.279098,            0.272066,            0.002046,

0.010101,            0.737374,            0.269173,            0.262032,            0.002046,

0.010101,            0.747475,            0.259243,            0.251992,            0.002046,

0.010101,            0.757576,            0.249306,            0.241946,            0.002046,

0.010101,            0.767677,            0.239364,            0.231895,            0.002046,

0.010101,            0.777778,            0.229418,            0.221839,            0.002046,

0.010101,            0.787879,            0.219467,            0.211778,            0.002046,

0.010101,             0.79798,            0.209512,            0.201714,            0.002046,

0.010101,            0.808081,            0.199554,            0.191646,            0.002046,

0.010101,            0.818182,            0.189592,            0.181576,            0.002046,

0.010101,            0.828283,            0.179628,            0.171502,            0.002046,

0.010101,            0.838384,            0.169661,            0.161426,            0.002046,

0.010101,            0.848485,            0.159692,            0.151347,            0.002046,

0.010101,            0.858586,            0.149721,            0.141266,            0.002046,

0.010101,            0.868687,            0.139748,            0.131184,            0.002046,

0.010101,            0.878788,            0.129773,            0.121099,            0.002046,

0.010101,            0.888889,            0.119796,            0.111014,            0.002046,

0.010101,             0.89899,            0.109818,            0.100926,            0.002046,

0.010101,            0.909091,           0.0998393,           0.0908377,            0.002046,

0.010101,            0.919192,           0.0898591,            0.080748,            0.002046,

0.010101,            0.929293,           0.0798777,           0.0706572,            0.002046,

0.010101,            0.939394,           0.0698955,           0.0605655,            0.002046,

0.010101,            0.949495,           0.0599124,           0.0504729,            0.002046,

0.010101,            0.959596,           0.0499285,           0.0403796,            0.002046,

0.010101,            0.969697,            0.039944,           0.0302856,            0.002046,

0.010101,            0.979798,           0.0299588,           0.0201909,            0.002046,

0.010101,            0.989899,            0.019973,           0.0100957,            0.002046,

0.010101,                   1,          0.00998673,         5.88857e-18,            0.002046,

