step_size,                  x,              v_num,            u_exact,               time,
0.001001,            0.035035,            0.269293,            0.266541,             8.87463,

0.001001,            0.036036,              0.2753,            0.272486,             8.87463,

0.001001,            0.037037,            0.281237,            0.278362,             8.87463,

0.001001,            0.038038,            0.287105,             0.28417,             8.87463,

0.001001,            0.039039,            0.292905,             0.28991,             8.87463,

0.001001,             0.04004,            0.298637,            0.295583,             8.87463,

0.001001,            0.041041,            0.304302,            0.301189,             8.87463,

0.001001,            0.042042,              0.3099,             0.30673,             8.87463,

0.001001,            0.043043,            0.315432,            0.312205,             8.87463,

0.001001,            0.044044,            0.320899,            0.317616,             8.87463,

0.001001,            0.045045,            0.326302,            0.322963,             8.87463,

0.001001,            0.046046,            0.331641,            0.328247,             8.87463,

0.001001,            0.047047,            0.336917,            0.333468,             8.87463,

0.001001,            0.048048,             0.34213,            0.338627,             8.87463,

0.001001,            0.049049,            0.347281,            0.343725,             8.87463,

0.001001,           0.0500501,            0.352371,            0.348762,             8.87463,

0.001001,           0.0510511,              0.3574,            0.353739,             8.87463,

0.001001,           0.0520521,            0.362369,            0.358657,             8.87463,

0.001001,           0.0530531,            0.367278,            0.363515,             8.87463,

0.001001,           0.0540541,            0.372128,            0.368315,             8.87463,

0.001001,           0.0550551,            0.376921,            0.373058,             8.87463,

0.001001,           0.0560561,            0.381655,            0.377743,             8.87463,

0.001001,           0.0570571,            0.386332,            0.382371,             8.87463,

0.001001,           0.0580581,            0.390952,            0.386944,             8.87463,

0.001001,           0.0590591,            0.395517,            0.391461,             8.87463,

0.001001,           0.0600601,            0.400025,            0.395923,             8.87463,

0.001001,           0.0610611,            0.404479,             0.40033,             8.87463,

0.001001,           0.0620621,            0.408879,            0.404684,             8.87463,

0.001001,           0.0630631,            0.413224,            0.408984,             8.87463,

0.001001,           0.0640641,            0.417517,            0.413232,             8.87463,

0.001001,           0.0650651,            0.421756,            0.417427,             8.87463,

0.001001,           0.0660661,            0.425943,             0.42157,             8.87463,

0.001001,           0.0670671,            0.430079,            0.425663,             8.87463,

0.001001,           0.0680681,            0.434163,            0.429704,             8.87463,

0.001001,           0.0690691,            0.438196,            0.433696,             8.87463,

0.001001,           0.0700701,             0.44218,            0.437637,             8.87463,

0.001001,           0.0710711,            0.446113,             0.44153,             8.87463,

0.001001,           0.0720721,            0.449997,            0.445373,             8.87463,

0.001001,           0.0730731,            0.453833,            0.449169,             8.87463,

0.001001,           0.0740741,             0.45762,            0.452916,             8.87463,

0.001001,           0.0750751,             0.46136,            0.456617,             8.87463,

0.001001,           0.0760761,            0.465052,             0.46027,             8.87463,

0.001001,           0.0770771,            0.468698,            0.463877,             8.87463,

0.001001,           0.0780781,            0.472297,            0.467438,             8.87463,

0.001001,           0.0790791,             0.47585,            0.470954,             8.87463,

0.001001,           0.0800801,            0.479357,            0.474425,             8.87463,

0.001001,           0.0810811,             0.48282,            0.477851,             8.87463,

0.001001,           0.0820821,            0.486238,            0.481234,             8.87463,

0.001001,           0.0830831,            0.489613,            0.484572,             8.87463,

0.001001,           0.0840841,            0.492943,            0.487867,             8.87463,

0.001001,           0.0850851,             0.49623,             0.49112,             8.87463,

0.001001,           0.0860861,            0.499475,             0.49433,             8.87463,

0.001001,           0.0870871,            0.502677,            0.497498,             8.87463,

0.001001,           0.0880881,            0.505837,            0.500625,             8.87463,

0.001001,           0.0890891,            0.508955,             0.50371,             8.87463,

0.001001,           0.0900901,            0.512033,            0.506755,             8.87463,

0.001001,           0.0910911,             0.51507,             0.50976,             8.87463,

0.001001,           0.0920921,            0.518066,            0.512725,             8.87463,

0.001001,           0.0930931,            0.521023,             0.51565,             8.87463,

0.001001,           0.0940941,             0.52394,            0.518536,             8.87463,

0.001001,           0.0950951,            0.526818,            0.521383,             8.87463,

0.001001,           0.0960961,            0.529657,            0.524192,             8.87463,

0.001001,           0.0970971,            0.532458,            0.526963,             8.87463,

0.001001,           0.0980981,            0.535221,            0.529697,             8.87463,

0.001001,           0.0990991,            0.537947,            0.532393,             8.87463,

0.001001,              0.1001,            0.540635,            0.535053,             8.87463,

0.001001,            0.101101,            0.543286,            0.537676,             8.87463,

0.001001,            0.102102,            0.545901,            0.540263,             8.87463,

0.001001,            0.103103,             0.54848,            0.542814,             8.87463,

0.001001,            0.104104,            0.551023,             0.54533,             8.87463,

